Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0817686415084985,0.201716253582511,0.245652217757475,0,0,0,2.12847235417489,0.00568558429619815,-5.06469118333443E-08,-1.52677188962258E-09,0.0118606210878676,5.49851568728939E-06,0.00660980095489616,0,0,0,0,0,0,package://TF_URDF/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TF_URDF/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_laser_link,0.0028721,-0.00017144,0,0,0,0,0.36837,9.6829E-05,1.4542E-05,-5.574E-20,0.00035647,-2.3194E-21,0.00027601,0,0,0,0,0,0,package://TF_URDF/meshes/base_laser_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://TF_URDF/meshes/base_laser_link.STL,,base_laser_link-1,Origin_base_laser_joint,,base_laser_joint,fixed,0.081637,-0.14956,0.22853,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
laser_link,2.77555756156289E-17,0.00994901655834557,-2.77555756156289E-17,0,0,0,0.0660277715680958,1.96156877893573E-05,-1.28490646656236E-22,4.2351647362715E-21,3.48742138584865E-05,2.07966207894997E-22,1.96156117763069E-05,0,0,0,0,0,0,package://TF_URDF/meshes/laser_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TF_URDF/meshes/laser_link.STL,,laser_link-1,Origin_laser_joint,Axis_laser_joint,laser_joint,continuous,-0.01425,0.005,0,3.1416,0.84114,3.1416,base_laser_link,0,1,0,,,,,,,,,,,,
camera_link,-3.59690519788347E-06,-8.99346713536531E-05,-0.0199626938384505,0,0,0,0.18299872097753,3.59922737707122E-05,2.02071945527673E-09,4.50577550158109E-08,0.000405203074559153,4.47034664095324E-08,0.000396282423728644,0,0,0,0,0,0,package://TF_URDF/meshes/camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TF_URDF/meshes/camera_link.STL,,camera-1,Origin_camera_joint,,camera_joint,fixed,0.081637,-0.18181,0.28753,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
left_wheel_link,-0.0150496497452623,-1.96229144044935E-12,-2.77555756156289E-17,0,0,0,0.0895053073671552,0.000104006422478187,7.89418446961566E-16,4.65503323340839E-20,5.80082032825446E-05,9.78345076935346E-16,5.80082032677947E-05,0,0,0,0,0,0,package://TF_URDF/meshes/left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://TF_URDF/meshes/left_wheel_link.STL,,left_wheel_link-1/wheel-3,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.072863,-0.15606,0.083528,0.84849,0,0,base_link,1,0,0,,,,,,,,,,,,
right_wheel_link,-0.0150496497452624,-1.96037630573187E-12,-1.13797860024079E-15,0,0,0,0.0895053073671552,0.000104006422478187,7.89525481188872E-16,-4.59989735872422E-20,5.80082032825445E-05,9.7834677100124E-16,5.80082032677946E-05,0,0,0,0,0,0,package://TF_URDF/meshes/right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://TF_URDF/meshes/right_wheel_link.STL,,right_wheel_link-1/wheel-2,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,0.23614,-0.15606,0.083528,0.5371,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
caster_wheel_link,0.00988759049853666,-5.55111512312578E-17,-4.85722573273506E-17,0,0,0,0.01152385226836,2.43995864492354E-06,-1.18452263717594E-21,5.37047012700053E-22,1.40033256895838E-06,-1.419441931141E-21,1.40033256895838E-06,0,0,0,0,0,0,package://TF_URDF/meshes/caster_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://TF_URDF/meshes/caster_wheel_link.STL,,caster_ wheel_link-1,Origin_caster_wheel_joint,Axis_caster_wheel_joint,caster_wheel_joint,continuous,0.071174,-0.38546,0.068528,3.1007,0,-0.034236,base_link,1,0,0,,,,,,,,,,,,
arm_1_link,-0.00304007443823012,0.0196164335839695,-0.0029151743350484,0,0,0,0.102309676276625,5.85277338482376E-05,-1.83034221412611E-07,-5.85534114234214E-07,0.000109918724812753,3.63048958051063E-07,5.95682017387261E-05,0,0,0,0,0,0,package://TF_URDF/meshes/arm_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TF_URDF/meshes/arm_1_link.STL,,arm_1_link-1,Origin_arm_1_joint,Axis_arm_1_joint,arm_1_joint,revolute,0.081637,-0.23481,0.36503,1.5708,0,1.9678,base_link,0,1,0,10,100,-1.57,1.57,,,,,,,,
arm_2_link,-0.00136241892646594,0.0760000000000007,0.00324974749187036,0,0,0,0.0731866074343535,4.80073815600739E-05,-1.00851029760306E-08,8.91994561566134E-06,3.20760640864427E-05,2.40557712940828E-08,3.04704178358835E-05,0,0,0,0,0,0,package://TF_URDF/meshes/arm_2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TF_URDF/meshes/arm_2_link.STL,,arm_2_link-1,Origin_arm_2_joint,Axis_arm_2_joint,arm_2_joint,revolute,0.00057178,0.0325,0.00023971,0,0,0,arm_1_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
arm_3_link,-0.00258153232770741,0.0524015939370736,0.00093918113872897,0,0,0,0.103604281286433,3.85881019286922E-05,-4.80398927794602E-07,5.05895934821054E-06,2.28862113261529E-05,-1.44453356198874E-07,2.9779453438644E-05,0,0,0,0,0,0,package://TF_URDF/meshes/arm_3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://TF_URDF/meshes/arm_3_link.STL,,arm_3_link-1,Origin_arm_3_joint,Axis_arm_3_joint,arm_3_joint,revolute,0,0.152,0,0,0,0,arm_2_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
