Time,Velocity_L,Velocity_R
0.000200987,0,0
0.020721674,0,0
0.041159392,0,0
0.061456919,0,0
0.081362963,0,0
0.101660967,0,0
0.120911121,0,0
0.14238143,0,0
0.16067195,0,0
0.183205843,0.595682204,0
0.200809717,1.995034933,0
0.22087121,4.877789974,0
0.241154671,7.585626602,0
0.261171341,8.547688484,0
0.280778647,6.992450714,0
0.301543951,5.863442421,0
0.320603371,6.612164021,0
0.341920853,7.694931507,0
0.362942457,7.836048126,0
0.381416798,6.750688076,0
0.40067029,6.31414032,0
0.421448946,7.655563831,0
0.441532135,8.038427353,0
0.460608959,6.866994381,0
0.481341124,6.172187805,0
0.501460076,7.095875263,0
0.520961285,7.906923294,0
0.541216612,7.470240116,0
0.560949087,6.492321968,0
0.583936215,6.580919266,0
0.601124048,7.461448669,0
0.621178866,7.847039223,0
0.642033816,7.537307262,0
0.662885666,6.326368809,0
0.680717707,6.988756657,0
0.700834513,7.804089069,0
0.722468376,7.563585758,0
0.741281986,6.663439751,0
0.761053801,6.551267624,0
0.78210783,7.415112019,0
0.801856518,7.968734741,0
0.82209611,7.105348587,0
0.840969324,6.359065533,0
0.861293078,6.984283924,0
0.880687952,7.828115463,0
0.900842428,7.525103092,0
0.920824528,6.364582539,0
0.941043377,7.012557507,0
0.960767746,7.951190948,0
0.98094821,7.0245471,0
1.000727654,6.390163422,0
1.021709681,7.049593449,0
1.041160584,7.819522381,0
1.060953617,7.807185173,0
1.080839872,6.409711361,0
1.100729942,7.452865601,0
1.120613337,7.78256464,0
1.140807867,7.085561275,0
1.160897255,6.657983303,0
1.181297302,7.409668922,0
1.200922728,7.786446571,0
1.221264124,7.143519402,0
1.241271496,6.449155807,0
1.261861563,7.365797043,0
1.28110075,7.831320763,0
1.300967217,7.176842213,0
1.32175684,6.550514698,0
1.34095335,6.918067932,0
1.361593485,7.620529175,0
1.381487131,7.564585209,0
1.402111769,6.85393095,0
1.420964956,6.627592564,0
1.440625668,7.229391575,0
1.460987806,7.756204605,0
1.480858326,7.282405853,0
1.501777887,6.520256996,0
1.521313906,7.189706326,0
1.540742636,7.707119942,0
1.56073165,7.315906048,0
1.580747604,6.676789761,0
1.602067709,6.82147646,0
1.620940209,7.708023071,0
1.641868591,7.622797489,0
1.661428929,6.999455929,0
1.681608915,6.587191582,0
1.702069521,7.443998337,0
1.721601963,7.657721043,0
1.741211176,7.024926186,0
1.76144886,6.557600021,0
1.780727148,7.102071285,0
1.801191569,7.788424492,0
1.820911408,7.408974171,0
1.84197712,6.515964031,0
1.861071825,7.021470547,0
1.881616116,7.720653057,0
1.902540684,7.473836422,0
1.920694113,6.503256321,0
1.940814018,7.404650688,0
1.963305473,7.73777771,0
1.980627537,6.764716148,0
2.002793074,6.727079391,0
2.020986557,7.743962288,0
2.041605234,7.151369572,0
2.062666655,6.689797878,0
2.080577135,7.587687492,0
2.100534916,7.469379902,0
2.126572847,6.645756721,0
2.141084194,6.572491646,0
2.161521673,7.24334383,0
2.181178808,7.546699524,0
2.201445103,6.632604122,0
2.22110033,6.869047165,0
2.240870237,7.761320114,0
2.261474848,7.257677078,0
2.280742884,6.663258553,0
2.300846338,7.195504665,0
2.330254316,7.71134901,0
2.341186762,7.594806194,0
2.360655308,6.95513773,0
2.381565809,6.609987259,0
2.400579214,7.707453728,0
2.421042204,7.295010567,0
2.44094348,7.295010567,0
2.460840941,6.690486431,0
2.4810009,6.633577824,0
2.500996828,7.439938545,0
2.521520615,7.60944128,0
2.541751385,7.018480301,0
2.56201005,6.595939159,0
2.580738545,7.125808239,0
2.601009131,7.699589252,0
2.621714831,7.05681324,0
2.640842915,6.599349022,0
2.660814762,7.089466572,0
2.681237221,7.609302044,0
2.701040983,7.391211987,0
2.720968962,6.626007557,0
2.740946293,7.006607533,0
2.761109114,7.602519035,0
2.780849934,7.432801723,0
2.800885916,6.581971645,0
2.82075882,7.007286072,0
2.841213226,7.687899113,0
2.861337185,7.418506622,0
2.880725384,6.666984558,0
2.902074099,6.982723236,0
2.921949625,7.506741524,0
2.940659762,7.63694191,0
2.961309433,6.876125336,0
2.980787754,6.632737637,0
3.001356125,7.251930714,0
3.020875216,7.648565292,0
3.040588141,6.91186142,0
3.061411381,6.712368011,0
