Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.05559497177638E-12,6.31894336221611E-12,-5.17741961678007E-12,0,0,0,2.49683972846965,0.00596159328883626,-5.06469082751166E-08,-1.5266709729098E-09,0.0122170913936761,-9.04363601046582E-06,0.00670663028700821,0,0,0,0,0,0,package://tf_urdf3/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf3/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_scan,4.54497550705923E-16,0.00994901655834559,-4.16333634234434E-17,0,0,0,0.0660277715680958,1.96156877893573E-05,-2.32345138020396E-22,-1.6940658945086E-21,3.48742138584865E-05,-1.68839275960928E-21,1.96156117763069E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/base_scan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tf_urdf3/meshes/base_scan.STL,,base_scan-1,Origin_scan_joint,Axis_scan_joint,scan_joint,revolute,-0.00011198,0.067243,0.027941,1.5708,0,-2.6597,base_link,0,1,0,0,0,0,0,,,,,,,,
camera_link,-3.59644516483235E-06,-8.99346729618666E-05,-0.0199626938850732,0,0,0,0.182998721569065,3.5992273850704E-05,2.02103200586128E-09,4.50591985459383E-08,0.000405203077313625,4.47034793272274E-08,0.000396282426264132,0,0,0,0,0,0,package://tf_urdf3/meshes/camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf3/meshes/camera_link.STL,,camera-1,Origin_camera_joint,,camera_joint,fixed,-0.00011198,0.049243,0.081941,1.5708,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
left_wheel_link,-0.0150496497452622,-1.96168775667971E-12,-1.66533453693773E-16,0,0,0,0.0895053073671552,0.000104006422478187,7.89420250912323E-16,4.4681527755846E-20,5.80082032825446E-05,9.78363711660185E-16,5.80082032677947E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://tf_urdf3/meshes/left_wheel_link.STL,,left_wheel_link-1/wheel-3,Origin_left_wheel_joint,Axis_left_wheel_joint,left_wheel_joint,continuous,-0.15461,0.074993,-0.12206,0.84849,0,0,base_link,1,0,0,,,,,,,,,,,,
right_wheel_link,-0.0150496497452624,-1.96179184008827E-12,5.55111512312578E-17,0,0,0,0.0895053073671553,0.000104006422478187,7.89519161283675E-16,-4.17738099496549E-20,5.80082032825446E-05,9.78345076935346E-16,5.80082032677947E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://tf_urdf3/meshes/right_wheel_link.STL,,right_wheel_link-1/wheel-2,Origin_right_wheel_joint,Axis_right_wheel_joint,right_wheel_joint,continuous,0.15439,0.074993,-0.12206,0.5371,0,3.1416,base_link,1,0,0,,,,,,,,,,,,
caster_link,0.00460335958615544,-2.77555756156289E-17,-2.77555756156289E-17,0,0,0,0.01152385226836,2.43995864492354E-06,-1.54848210669927E-21,1.59997409983069E-21,1.40033256895839E-06,-1.05879118406788E-21,1.40033256895839E-06,0,0,0,0,0,0,package://tf_urdf3/meshes/caster_link.STL,1,1,1,1,0,0,0,0,0,0,package://tf_urdf3/meshes/caster_link.STL,,caster_ wheel_link-1,Origin_caster_joint,Axis_caster_joint,caster_joint,continuous,-0.0052945,-0.15459,-0.13706,3.1007,0,-0.034236,base_link,1,0,0,,,,,,,,,,,,
arm_1_link,-0.00304007438065966,0.0196164335046979,-0.00291517433011433,0,0,0,0.102309676287535,5.85277337608611E-05,-1.83034149314494E-07,-5.85534183281055E-07,0.000109918724976135,3.63049047084518E-07,5.95682017970662E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_1_link.STL,,arm_1_link-1,Origin_arm_1_joint,Axis_arm_1_joint,arm_1_joint,continuous,-0.00011198,-0.0037567,0.15944,1.5708,0,1.9678,base_link,0,1,0,10,100,-1.57,1.57,,,,,,,,
arm_2_link,-0.00136241892687206,0.0760000000000048,0.0032497474917032,0,0,0,0.0731866074343535,4.8007381560074E-05,-1.00851028373393E-08,8.91994561566121E-06,3.20760640864427E-05,2.40557713523583E-08,3.04704178358833E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_2_link.STL,,arm_2_link-1,Origin_arm_2_joint,Axis_arm_2_joint,arm_2_joint,continuous,0.00057178,0.0325,0.00023971,0,0,0,arm_1_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
arm_3_link,-0.00258153228786722,0.0524015939542918,0.000939181170584955,0,0,0,0.103604281307373,3.85881018738509E-05,-4.80398867236182E-07,5.05895931054935E-06,2.28862113904832E-05,-1.4445332566151E-07,2.97794533691035E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_3_link.STL,,arm_3_link-1,Origin_arm_3_joint,Axis_arm_3_joint,arm_3_joint,continuous,0,0.152,0,0,0,0,arm_2_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
arm_4_link,-0.00101187424557146,0.0375011786161997,-0.00366708119504672,0,0,0,0.0995665365963181,2.11129357501037E-05,-8.60509757749079E-08,2.61664433182042E-06,1.5114895217304E-05,-3.60758730665085E-08,1.71059724055455E-05,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://tf_urdf3/meshes/arm_4_link.STL,,arm_4_link-1,Origin_arm_4_joint,Axis_arm_4_joint,arm_4_joint,continuous,0,0.1464,0,0,0,0,arm_3_link,0.38664,0,-0.92223,10,100,-1.57,1.57,,,,,,,,
